,dealAmountYear,dealAmountMonth,buildYear,dealYear,dealMonth,dealDay,dong,apartmentName,regionalCode,areaForExclusiveUse,floor
0,"45,000",68,2005,2021,9,1,역삼동,역삼래미안,11680,59.4,8
1,"20,000",200,2003,2021,9,1,역삼동,세방하이빌1,11680,59.77,6
2,"125,000",0,1998,2021,9,1,역삼동,동부센트레빌,11680,84.97,13
3,"30,000",310,2021,2021,9,1,역삼동,시티프라디움더강남101동,11680,59.99,19
4,"20,000",200,2003,2021,9,1,역삼동,세방하이빌1,11680,59.77,6
5,500,124,2018,2021,9,2,역삼동,TREEHOUSE,11680,14.28,6
6,"80,000",100,2005,2021,9,3,역삼동,e-편한세상,11680,59.606,15
7,"80,000",100,2005,2021,9,3,역삼동,e-편한세상,11680,59.606,15
8,"15,000",24,2001,2021,9,3,역삼동,한화진넥스빌,11680,39.2,19
9,"10,000",290,2005,2021,9,4,역삼동,역삼래미안,11680,59.4,15
10,"57,000",0,2012,2021,9,4,역삼동,강남서해더블루,11680,70.57,3
11,"160,000",0,2011,2021,9,4,역삼동,래미안그레이튼(진달래2차),11680,84.87,21
12,"88,000",166,2006,2021,9,4,역삼동,역삼푸르지오,11680,84.9097,4
13,"20,000",270,2006,2021,9,4,역삼동,역삼푸르지오,11680,59.8848,17
14,"90,000",0,2005,2021,9,4,역삼동,에스케이허브젠,11680,84.99,4
15,"140,000",0,2006,2021,9,4,역삼동,역삼푸르지오,11680,84.9097,15
16,"70,000",250,2012,2021,9,4,역삼동,개나리SK뷰,11680,84.98,14
17,"55,000",0,2002,2021,9,6,역삼동,역삼동하나빌,11680,50.47,13
18,"20,000",0,1999,2021,9,6,역삼동,현대휴먼터치빌,11680,25.92,12
19,"30,000",0,1996,2021,9,6,역삼동,한스빌(836),11680,39.89,6
20,"10,000",450,2006,2021,9,6,역삼동,개나리푸르지오,11680,133.1686,20
21,"2,000",130,2006,2021,9,6,역삼동,역삼I'PARK,11680,28.246,6
22,"73,500",0,2005,2021,9,6,역삼동,e-편한세상,11680,59.606,2
23,"10,000",264,2005,2021,9,7,역삼동,e-편한세상,11680,84.991,5
24,"46,000",0,2006,2021,9,7,역삼동,역삼I'PARK,11680,28.246,14
25,"39,900",0,2006,2021,9,7,역삼동,역삼I'PARK,11680,28.246,16
26,"1,000",115,2002,2021,9,7,역삼동,대우디오빌,11680,39.13,14
27,"35,000",0,2002,2021,9,8,역삼동,트레벨,11680,33.48,5
28,"147,000",0,2016,2021,9,8,역삼동,역삼자이,11680,114.019,18
29,"12,000",35,2003,2021,9,8,역삼동,우림루미아트2,11680,24,7
30,"135,000",0,2014,2021,9,8,역삼동,테헤란아이파크,11680,92.6232,19
31,"10,000",310,2006,2021,9,8,역삼동,역삼디오슈페리움,11680,84.34,20
32,"120,000",0,1998,2021,9,9,역삼동,동부센트레빌,11680,84.97,3
33,"30,000",150,2004,2021,9,9,역삼동,현대하이츠,11680,111.96,2
34,"5,000",270,2003,2021,9,9,역삼동,오투빌(파크앤스위트),11680,76.61,5
35,"20,000",195,2002,2021,9,9,역삼동,대우디오빌,11680,84.986,23
36,"170,000",0,2011,2021,9,9,역삼동,래미안그레이튼(진달래2차),11680,84.87,9
37,"2,000",120,2002,2021,9,10,역삼동,대우디오빌,11680,30.03,8
38,"77,000",0,2006,2021,9,10,역삼동,역삼푸르지오,11680,59.8848,4
39,"74,970",0,2005,2021,9,10,역삼동,역삼래미안,11680,59.4,10
40,"74,970",0,2005,2021,9,10,역삼동,역삼래미안,11680,59.4,10
41,"40,000",120,2004,2021,9,10,역삼동,역삼이안애비,11680,84.28,1
42,"50,000",321,2006,2021,9,11,역삼동,개나리푸르지오,11680,132.8355,8
43,"38,580",0,2006,2021,9,11,역삼동,역삼I'PARK,11680,28.246,7
44,"78,750",0,2005,2021,9,11,역삼동,역삼래미안,11680,59.4,16
45,"90,000",0,2005,2021,9,11,역삼동,역삼래미안,11680,59.4,19
46,"50,000",180,2005,2021,9,11,역삼동,역삼래미안,11680,59.4,10
47,"20,000",430,2016,2021,9,11,역삼동,역삼자이,11680,84.993,21
48,"1,000",73,2013,2021,9,11,역삼동,에레프,11680,14.31,9
49,"200,000",0,2010,2021,9,11,역삼동,래미안그레이튼(진달래2차),11680,120.37,34
50,"78,700",0,2009,2021,9,11,역삼동,래미안그레이튼,11680,59.97,21
51,"78,700",0,2009,2021,9,11,역삼동,래미안그레이튼,11680,59.97,21
52,"131,000",0,2006,2021,9,12,역삼동,역삼I'PARK,11680,144.431,5
53,"110,000",0,2006,2021,9,12,역삼동,역삼푸르지오,11680,59.8848,11
54,"110,000",0,2006,2021,9,12,역삼동,역삼푸르지오,11680,59.8848,11
55,"131,000",0,2006,2021,9,12,역삼동,역삼I'PARK,11680,144.431,5
56,"180,000",0,2010,2021,9,13,역삼동,래미안그레이튼(진달래2차),11680,120.37,1
57,"60,000",230,1998,2021,9,13,역삼동,동부센트레빌,11680,84.97,4
58,"69,000",0,2002,2021,9,13,역삼동,대우디오빌,11680,59.505,24
59,"1,000",105,2002,2021,9,13,역삼동,역삼동하나빌,11680,31.12,12
60,"120,000",0,2006,2021,9,13,역삼동,상지리츠빌역삼2차,11680,141.53,6
61,"120,000",0,2006,2021,9,13,역삼동,상지리츠빌역삼2차,11680,141.53,6
62,"19,700",0,2004,2021,9,14,역삼동,강남역우정에쉐르,11680,17.13,11
63,"10,000",330,2006,2021,9,14,역삼동,개나리래미안,11680,59.95,7
64,"110,000",130,2014,2021,9,14,역삼동,테헤란아이파크,11680,92.6232,4
65,"220,000",0,2012,2021,9,14,역삼동,개나리SK뷰,11680,127.27,2
66,"50,000",300,2005,2021,9,15,역삼동,e-편한세상,11680,84.991,2
67,"98,000",0,2005,2021,9,15,역삼동,역삼래미안,11680,80.87,8
68,"20,000",245,2005,2021,9,15,역삼동,e-편한세상,11680,59.606,22
69,"95,000",0,1997,2021,9,15,역삼동,대림역삼,11680,84.96,2
70,"20,000",176,2010,2021,9,15,역삼동,래미안그레이튼(진달래2차),11680,59.91,5
71,"1,000",105,2002,2021,9,17,역삼동,대우디오빌,11680,30.03,4
72,"97,650",0,2005,2021,9,18,역삼동,역삼래미안,11680,80.87,19
73,"102,000",0,2005,2021,9,18,역삼동,역삼래미안,11680,59.53,5
74,"60,000",101,2005,2021,9,18,역삼동,e-편한세상,11680,84.991,1
75,"60,000",101,2005,2021,9,18,역삼동,e-편한세상,11680,84.991,1
76,"5,000",200,2003,2021,9,23,역삼동,한양럭스,11680,59.78,2
