,dealAmountYear,dealAmountMonth,buildYear,dealYear,dealMonth,dealDay,dong,apartmentName,regionalCode,areaForExclusiveUse,floor
0,"108,000",0,2006,2021,7,1,역삼동,역삼푸르지오,11680,59.8848,12
1,"110,000",0,2009,2021,7,1,역삼동,래미안그레이튼,11680,59.97,14
2,"115,000",0,2005,2021,7,1,역삼동,e-편한세상,11680,59.606,20
3,300,80,2013,2021,7,1,역삼동,에레프,11680,14.31,8
4,"63,945",0,2005,2021,7,1,역삼동,에스케이허브젠,11680,84.99,10
5,0,430,2003,2021,7,1,역삼동,베스젠빌,11680,111.65,3
6,"150,000",145,2016,2021,7,1,역삼동,역삼자이,11680,114.019,11
7,"10,000",200,2005,2021,7,2,역삼동,e-편한세상,11680,59.606,12
8,"115,000",0,2005,2021,7,2,역삼동,e-편한세상,11680,59.606,13
9,"135,000",0,2006,2021,7,2,역삼동,개나리푸르지오,11680,59.6851,13
10,"28,000",0,2001,2021,7,2,역삼동,한화진넥스빌,11680,34.82,22
11,500,160,2002,2021,7,2,역삼동,대우디오빌,11680,30.03,7
12,"95,000",0,2021,2021,7,2,역삼동,시티프라디움더강남101동,11680,59.99,14
13,"95,000",0,2021,2021,7,2,역삼동,시티프라디움더강남101동,11680,59.99,14
14,"70,000",230,2011,2021,7,3,역삼동,래미안그레이튼(진달래2차),11680,84.87,1
15,"96,600",0,2006,2021,7,3,역삼동,역삼푸르지오,11680,84.9097,5
16,"75,000",0,1997,2021,7,3,역삼동,대림역삼,11680,59.99,11
17,"110,000",0,2006,2021,7,3,역삼동,개나리래미안,11680,84.93,12
18,"61,000",0,2002,2021,7,3,역삼동,대우디오빌,11680,59.15,21
19,"99,700",0,2005,2021,7,3,역삼동,e-편한세상,11680,84.991,7
20,"84,000",0,2006,2021,7,3,역삼동,개나리래미안,11680,84.94,9
21,"25,000",200,2007,2021,7,3,역삼동,쌍용플레티넘밸류,11680,110.57,3
22,"70,000",170,2009,2021,7,3,역삼동,래미안그레이튼,11680,70.98,6
23,"1,000",100,2001,2021,7,3,역삼동,한화진넥스빌,11680,43.58,23
24,"100,000",300,2007,2021,7,4,역삼동,래미안펜타빌,11680,138.54,21
25,"110,000",120,2009,2021,7,4,역삼동,래미안그레이튼,11680,84.97,14
26,"15,000",240,2006,2021,7,5,역삼동,역삼푸르지오,11680,59.8848,9
27,"96,600",0,2005,2021,7,5,역삼동,e-편한세상,11680,84.991,3
28,"5,000",80,2001,2021,7,5,역삼동,한화진넥스빌,11680,41.68,7
29,"28,665",0,1996,2021,7,5,역삼동,한스빌(836),11680,39.89,4
30,"150,000",0,2014,2021,7,6,역삼동,테헤란아이파크,11680,92.6232,2
31,"102,900",0,2005,2021,7,6,역삼동,e-편한세상,11680,84.991,8
32,"100,000",220,2014,2021,7,6,역삼동,테헤란아이파크,11680,92.6232,19
